,abstract,authors,chemicals,citation,doi,history,issn,journal,title,volume,volume_issue,year,publication_types_extracted,url
5,"In recent years, awareness regarding micro-nanoplastics' (MNPs) potential effects on human health has progressively increased. Despite a large body of evidence regarding the origin and distribution of MNPs in the environment, their impact on human health remains to be determined. In this context, there is a major need to address their potential carcinogenic risks, since MNPs could hypothetically mediate direct and indirect carcinogenic effects, the latter mediated by particle-linked chemical carcinogens. Currently, evidence in this field is scarce and heterogeneous, but the reported increased incidence of malignant tumors among younger populations, together with the ubiquitous environmental abundance of MNPs, are rising a global concern regarding the possible role of MNPs in the development and progression of cancer. In this review, we provide an overview of the currently available evidence in eco-toxicology, as well as methods for the identification and characterization of environmental MNP particulates and their health-associated risks, with a focus on cancer. In addition, we suggest possible routes for future research in order to unravel the carcinogenetic potential of MNP exposure and to understand prognostic and preventive implications of intratumoral MNPs.","['Ruggieri L', 'Amato O', 'Marrazzo C', 'Nebuloni M', 'Dalu D', 'Cona MS', 'Gambaro A', 'Rulli E', 'La Verde N']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}, 'D002273': {'substance_name': 'Carcinogens', 'registry_number': '0'}}","Ruggieri L, et al. Rising Concern About the Carcinogenetic Role of Micro-Nanoplastics. Rising Concern About the Carcinogenetic Role of Micro-Nanoplastics. 2024; 26:(unknown pages). doi: 10.3390/ijms26010215",10.3390/ijms26010215,"{'received': datetime.datetime(2024, 11, 23, 0, 0), 'revised': datetime.datetime(2024, 12, 21, 0, 0), 'accepted': datetime.datetime(2024, 12, 28, 0, 0), 'medline': datetime.datetime(2025, 1, 11, 0, 0), 'pubmed': datetime.datetime(2025, 1, 11, 0, 0), 'entrez': datetime.datetime(2025, 1, 11, 0, 0), 'pmc-release': datetime.datetime(2024, 12, 30, 0, 0)}",1422-0067,Int J Mol Sci,Rising Concern About the Carcinogenetic Role of Micro-Nanoplastics.,26.0,26(1),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39796071
13,"The extensive use of plastics in modern dentistry, including oral care products and dental materials, has raised significant concerns due to the increasing evidence of potential harm to human health and the environment caused by the unintentional release of microplastics (MPs) and nanoplastics (NPs). Particles from sources like toothpaste, toothbrushes, orthodontic implants, and denture materials are generated through mechanical friction, pH changes, and thermal fluctuations. These processes cause surface stress, weaken material integrity, and induce wear, posing health risks such as exposure to harmful monomers and additives, while contributing to environmental contamination. MPs/NPs released during dental procedures can be ingested, leading to immune suppression, tissue fibrosis, and systemic toxicities. The gut epithelium absorbs some particles, while others are excreted, entering ecosystems, accumulating through the food chain, and causing ecological damage. Although analytical techniques have advanced in detecting MPs/NPs in oral care products, more robust methods are needed to understand their release mechanisms. This review explores the prevalence of MPs/NPs in dentistry, the mechanisms by which MPs/NPs are released into the oral environment, and their implications for human and ecological health. It underscores the urgency of public awareness and sustainable dental practices to mitigate these risks and promote environmental well-being.","['Saha U', 'Jena S', 'Simnani FZ', 'Singh D', 'Choudhury A', 'Naser SS', 'Lenka SS', 'Kirti A', 'Nandi A', 'Sinha A', 'Patro S', 'Kujawska M', 'Suar M', 'Kaushik NK', 'Ghosh A', 'Verma SK']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}, 'D003764': {'substance_name': 'Dental Materials', 'registry_number': '0'}}","Saha U, et al. The unseen perils of oral-care products generated micro/nanoplastics on human health. The unseen perils of oral-care products generated micro/nanoplastics on human health. 2025; 290:117526. doi: 10.1016/j.ecoenv.2024.117526",10.1016/j.ecoenv.2024.117526,"{'received': datetime.datetime(2024, 8, 27, 0, 0), 'revised': datetime.datetime(2024, 11, 23, 0, 0), 'accepted': datetime.datetime(2024, 12, 8, 0, 0), 'medline': datetime.datetime(2025, 2, 15, 0, 0), 'pubmed': datetime.datetime(2024, 12, 15, 0, 0), 'entrez': datetime.datetime(2024, 12, 14, 0, 0)}",1090-2414,Ecotoxicol Environ Saf,The unseen perils of oral-care products generated micro/nanoplastics on human health.,290.0,290,2025, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39674028
19,"BACKGROUND: Human exposure to micro- and nanoplastic particles (MNPs) is inevitable but human health risk assessment remains challenging for several reasons. MNPs are complex mixtures of particles derived from different polymer types, which may contain plenty of additives and/or contaminants. MNPs cover broad size distributions and often have irregular shapes and morphologies. Moreover, several of their properties change over time due to aging/ weathering. Case-by-case assessment of each MNP type does not seem feasible, more straightforward methodologies are needed. However, conceptual approaches for human health risk assessment are rare, reliable methods for exposure and hazard assessment are largely missing, and meaningful data is scarce.
METHODS: Here we reviewed the state-of-the-art concerning risk assessment of chemicals with a specific focus on polymers as well as on (nano-)particles and fibres. For this purpose, we broadly screened relevant knowledge including guidance documents, standards, scientific publications, publicly available reports. We identified several suitable concepts such as: (i) polymers of low concern (PLC), (ii) poorly soluble low toxicity particles (PSLT) and (iii) fibre pathogenicity paradigm (FPP). We also aimed to identify promising methods, which may serve as a reasonable starting point for a test strategy.
RESULTS AND CONCLUSION: Here, we propose a state-of-the-art modular risk assessment framework for MNPs, focusing primarily on inhalation as a key exposure route for humans that combines several integrated approaches to testing and assessment (IATAs). The framework starts with basic physicochemical characterisation (step 1), followed by assessing the potential for inhalative exposure (step 2) and includes several modules for toxicological assessment (step 3). We provide guidance on how to apply the framework and suggest suitable methods for characterization of physicochemical properties, exposure and hazard assessment. We put special emphasis on new approach methodologies (NAMs) and included grouping, where adequate. The framework has been improved in several iterative cycles by taking into account expert feedback and is currently being tested in several case studies. Overall, it can be regarded as an important step forward to tackle human health risk assessment.","['Vogel A', 'Tentschert J', 'Pieters R', 'Bennet F', 'Dirven H', 'van den Berg A', 'Lenssen E', 'Rietdijk M', 'Broßell D', 'Haase A']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}}","Vogel A, et al. Towards a risk assessment framework for micro- and nanoplastic particles for human health. Towards a risk assessment framework for micro- and nanoplastic particles for human health. 2024; 21:48. doi: 10.1186/s12989-024-00602-9",10.1186/s12989-024-00602-9,"{'received': datetime.datetime(2024, 6, 13, 0, 0), 'accepted': datetime.datetime(2024, 9, 24, 0, 0), 'medline': datetime.datetime(2024, 11, 30, 0, 0), 'pubmed': datetime.datetime(2024, 11, 30, 0, 0), 'entrez': datetime.datetime(2024, 11, 29, 0, 0), 'pmc-release': datetime.datetime(2024, 11, 29, 0, 0)}",1743-8977,Part Fibre Toxicol,Towards a risk assessment framework for micro- and nanoplastic particles for human health.,21.0,21(1),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39614364
29,"PURPOSE: The presence of microplastics (MPs) and nanoplastics (NPs) in aquatic ecosystems has raised serious environmental and health concerns. Polystyrene is one of the most abundant plastic polymers found in the environment. Polystyrene MPs/NPs have harmful implications for human health and their removal from the environment has become a serious challenge.
METHODS: In this study, we investigated the adsorptive uptake of polystyrene nanoplastics (PS NPs) from aqueous solutions using fly ash-loaded magnetic nanoparticles (FAMNPs) as the magnetic nano-adsorbent. During the factor screening study, the adsorption process was studied as a function of four variables namely pH (5-10), adsorption time (30-120 min), amount of FAMNPs (0.01-0.04 g), and stirring speed (50-200 rpm). Central composite design (CCD) and response surface methodology (RSM) were employed to establish the relationship between the variables. Furthermore, toxicity assessments of PS NPs were checked on a zebrafish model, shedding light on its potential ecological effects.
RESULTS: Two variables namely the pH and amount of FAMNPs significantly influenced the adsorption capacity of FAMNPs and were further optimized for subsequent analysis. The optimum operational readings proposed by the model were pH (8.5), and the amount of FAMNPs (0.03 g), resulting in a good adsorption capacity of 29.12 mg/g for PS NPs. The adequacy of the proposed model was evaluated by analysis of variance (ANOVA). Zebrafish embryos exposed to PS NPs revealed physical deformations such as pericardial edema and malformed notochord.
CONCLUSION: The study demonstrates the effectiveness of FAMNPs in the adsorption of PS NPs from aqueous solutions, with optimal conditions identified at pH 8.5 and 0.03 g of FAMNPs using RSM. The adequacy of the model was confirmed through ANOVA analysis. Toxicity assessments on zebrafish embryos exposed to PS NPs revealed significant mortality and physical deformations, highlighting the importance of PS NPs removal for environmental health.","['Kumar C', 'Singh H', 'Ghosh D', 'Jain A', 'Arya SK', 'Khatri M']",{},"Kumar C, et al. Polystyrene nanoplastics: optimized removal using magnetic nano-adsorbent and toxicity assessment in zebrafish embryos. Polystyrene nanoplastics: optimized removal using magnetic nano-adsorbent and toxicity assessment in zebrafish embryos. 2024; 22:593-604. doi: 10.1007/s40201-024-00921-1",10.1007/s40201-024-00921-1,"{'received': datetime.datetime(2024, 3, 20, 0, 0), 'accepted': datetime.datetime(2024, 9, 8, 0, 0), 'pmc-release': datetime.datetime(2025, 9, 17, 0, 0), 'medline': datetime.datetime(2024, 10, 28, 0, 0), 'pubmed': datetime.datetime(2024, 10, 28, 0, 0), 'entrez': datetime.datetime(2024, 10, 28, 0, 0)}",2052-336X,J Environ Health Sci Eng,Polystyrene nanoplastics: optimized removal using magnetic nano-adsorbent and toxicity assessment in zebrafish embryos.,22.0,22(2),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39464815
31,"The presence of microplastics within the human body has raised significant concerns about their potential health implications. Numerous studies have supported the hypothesis that the accumulation of microplastics can trigger inflammatory responses, disrupt the microbiome, and provoke immune reactions due to their physicochemical properties. Chronic inflammation, characterized by tissue damage, angiogenesis, and fibrosis, plays a crucial role in cancer development. It influences cancer progression by altering the tumor microenvironment and impairing immune surveillance, thus promoting tumorigenesis and metastasis. This review explores the fundamental properties and bioaccumulation of microplastics, as well as their potential role in the transition from chronic inflammation to carcinogenesis. Additionally, it provides a comprehensive overview of the associated alterations in signaling pathways, microbiota disturbances, and immune responses. Despite this, the current understanding of the toxicity and biological impacts of microplastics remains limited. To mitigate their harmful effects on human health, there is an urgent need to improve the detection and removal methods for microplastics, necessitating further research and elucidation.","['Cheng Y', 'Yang Y', 'Bai L', 'Cui J']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}}","Cheng Y, et al. Microplastics: an often-overlooked issue in the transition from chronic inflammation to cancer. Microplastics: an often-overlooked issue in the transition from chronic inflammation to cancer. 2024; 22:959. doi: 10.1186/s12967-024-05731-5",10.1186/s12967-024-05731-5,"{'received': datetime.datetime(2024, 4, 1, 0, 0), 'accepted': datetime.datetime(2024, 10, 7, 0, 0), 'medline': datetime.datetime(2024, 10, 23, 0, 0), 'pubmed': datetime.datetime(2024, 10, 23, 0, 0), 'entrez': datetime.datetime(2024, 10, 23, 0, 0), 'pmc-release': datetime.datetime(2024, 10, 22, 0, 0)}",1479-5876,J Transl Med,Microplastics: an often-overlooked issue in the transition from chronic inflammation to cancer.,22.0,22(1),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39438955
34,"BACKGROUND: Microplastics (MPs), plastic particles < 5 mm in size, are prevalent in the environment, and human exposure to them is inevitable. To assess the potential risk of MPs on human health, it is essential to consider the physicochemical properties of environmental MPs, including polymer types, size, shape, and surface chemical modifications. Notably, environmental MPs undergo degradation due to external factors such as ultraviolet (UV) rays and waves, leading to changes in their surface characteristics. However, limited knowledge exists regarding the health effects of MPs, with a specific focus on their surface degradation. This study concentrates on cytotoxic MPs with surface degradation through UV irradiation, aiming to identify the mechanisms underlying their cell toxicity.
RESULTS: Polyethylene (PE) and surface-degraded PE achieved through UV light irradiation were employed as model MPs in this study. We explored the impact of PE and degraded PE on cell death in murine macrophage cell line RAW264.7 cells and human monocyte cell line THP-1 cells. Flow cytometric analysis revealed that degraded PE induced programmed cell death without activating caspase 3, while non-degraded PE did not trigger programmed cell death. These findings suggest that degraded PE might induce programmed cell death through mechanisms other than caspase-driven apoptosis. To understand the mechanisms of cell death, we investigated how cells responded to degraded PE-induced cellular stress. Immunofluorescence and western blotting analyses demonstrated that degraded PE induced autophagosome formation and increased p62 expression, indicating inhibited autophagy flux after exposure to degraded PE. Furthermore, degraded PE exposure led to a decrease in acidic lysosomes, indicating lysosomal dysregulation. These results imply that degraded PE induces lysosomal dysfunction, subsequently causing autophagy dysregulation and cell death.
CONCLUSIONS: This study unveils that UV-induced degradation of PE results in cell death attributed to lysosomal dysfunction. The findings presented herein provide novel insights into the effects of surface-degraded MPs on biological responses.","['Manabe S', 'Haga Y', 'Tsujino H', 'Ikuno Y', 'Asahara H', 'Higashisaka K', 'Tsutsumi Y']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}, 'D020959': {'substance_name': 'Polyethylene', 'registry_number': '9002-88-4'}}","Manabe S, et al. Treatment of polyethylene microplastics degraded by ultraviolet light irradiation causes lysosome-deregulated cell death. Treatment of polyethylene microplastics degraded by ultraviolet light irradiation causes lysosome-deregulated cell death. 2024; 14:24008. doi: 10.1038/s41598-024-74800-y",10.1038/s41598-024-74800-y,"{'received': datetime.datetime(2024, 4, 12, 0, 0), 'accepted': datetime.datetime(2024, 9, 30, 0, 0), 'medline': datetime.datetime(2024, 10, 15, 0, 0), 'pubmed': datetime.datetime(2024, 10, 15, 0, 0), 'entrez': datetime.datetime(2024, 10, 14, 0, 0), 'pmc-release': datetime.datetime(2024, 10, 14, 0, 0)}",2045-2322,Sci Rep,Treatment of polyethylene microplastics degraded by ultraviolet light irradiation causes lysosome-deregulated cell death.,14.0,14(1),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39402130
36,"BACKGROUND: Micro- and nanoplastics (MNPs) are emerging pollutants of concern with ubiquitous presence in global ecosystems. MNPs pose potential implications for human health; however, the health impacts of MNP exposures are not yet understood. Recent evidence suggests that MNPs can cross the placental barrier, underlying the urgent need to understand their impact on reproductive health and development.
OBJECTIVE: The Actionable eUropean ROadmap for early-life health Risk Assessment of micro- and nanoplastics (AURORA) project will investigate MNP exposures and their biological and health effects during pregnancy and early life, which are critical periods due to heightened vulnerability to environmental stressors. The AURORA project will enhance exposure assessment capabilities for measuring MNPs, MNP-associated chemicals, and plastic additives in human tissues, including placenta and blood.
METHODS: In this interdisciplinary project, we will advance methods for in-depth characterization and scalable chemical analytical strategies, enabling high-resolution and large-scale toxicological, exposure assessment, and epidemiological studies. The AURORA project performs observational studies to investigate determinants and health impacts of MNPs by including 800 mother-child pairs from 2 existing birth cohorts and 110 women of reproductive age from a newly established cohort. This will be complemented by toxicological studies using a tiered-testing approach and epidemiological investigations to evaluate associations between maternal and prenatal MNP exposures and health perturbations, such as placental function, immune-inflammatory responses, oxidative stress, accelerated aging, endocrine disruption, and child growth and development. The ultimate goal of the AURORA project is to create an MNP risk assessment framework and identify the remaining knowledge gaps and priorities needed to comprehensively assess the impact of MNPs on early-life health.
RESULTS: In the first 3 years of this 5-year project (2021-2026), progress was made toward all objectives. This includes completion of recruitment and data collection for new and existing cohorts, development of analytical methodological protocols, and initiation of the toxicological tiered assessments. As of September 2024, data analysis is ongoing and results are expected to be published starting in 2025.
CONCLUSIONS: As plastic pollution increases globally, it is imperative to understand the impact of MNPs on human health, particularly during vulnerable developmental stages such as early life. The contributions of the AURORA project will inform future risk assessment.
INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/63176.","['Durkin AM', 'Zou R', 'Boucher JM', 'Boyles MS', 'van Boxel J', 'Bustamante M', 'Christopher EA', 'Dadvand P', 'Dusza HM', 'van Duursen M', 'Forsberg MM', 'Galea KS', 'Legler J', 'Mandemaker LD', 'Meirer F', 'Muncke J', 'Nawrot TS', 'Přibylová P', 'Robuck AR', 'Saenen ND', 'Scholz-Böttcher BM', 'Shao K', 'Vrijheid M', 'Walker DI', 'Zimmermann L', 'Zoutendijk LM', 'Lenters V', 'Vermeulen R']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}}","Durkin AM, et al. Investigating Exposure and Hazards of Micro- and Nanoplastics During Pregnancy and Early Life (AURORA Project): Protocol for an Interdisciplinary Study. Investigating Exposure and Hazards of Micro- and Nanoplastics During Pregnancy and Early Life (AURORA Project): Protocol for an Interdisciplinary Study. 2024; 13:e63176. doi: 10.2196/63176",10.2196/63176,"{'received': datetime.datetime(2024, 6, 14, 0, 0), 'accepted': datetime.datetime(2024, 7, 11, 0, 0), 'revised': datetime.datetime(2024, 6, 29, 0, 0), 'medline': datetime.datetime(2024, 10, 8, 0, 0), 'pubmed': datetime.datetime(2024, 10, 8, 0, 0), 'entrez': datetime.datetime(2024, 10, 8, 0, 0), 'pmc-release': datetime.datetime(2024, 10, 8, 0, 0)}",1929-0748,JMIR Res Protoc,Investigating Exposure and Hazards of Micro- and Nanoplastics During Pregnancy and Early Life (AURORA Project): Protocol for an Interdisciplinary Study.,13.0,13,2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39378424
37,"BACKGROUND: While polystyrene microplastics (PS-MPs) are emerging as potentially significant health threats, linked to cancer and reproductive dysfunction, their precise effects on human health remain largely unknown. We aimed to investigate the underlying mechanisms promoting microplastic-induced damage in the reproductive system.
METHODS: Thirty C57BL/6 male mice were randomly allocated into six equal-sized groups. Mice were exposed to fluorescent PS-MPs (5 µm, < 18%, green) at a dose of 1 and 3 mg/dL via oral gavage for 28 and 56 days, respectively (control, 0 mg/dL). The presence of antibodies and inflammatory and oxidative stress markers were evaluated using western blotting. Sperm analysis was also performed. Mouse testis Sertoli TM4 cells were divided into two groups: control (medium only) and PS-MPs (medium containing, 1,000 μg/mL) groups and cultured in vitro for 1, 24, 48, or 72 hours. The cells were cultured in a Ham's F12: Dulbecco's Modified Eagle Medium medium with 0.25% fetal bovine serum at 37°C with humidified atmosphere of 5% carbon dioxide in the air. Protein analyses for interleukin (IL)-6, IL-10, NADPH-oxidase (NOX)-2, NOX-4, hypoxia-inducible transcription factor (HIF)-2α, monocyte chemoattractant protein-1 (MCP-1), tumor necrosis factor (TNF)-α, and transforming growth factor (TGF)-β were performed using western blotting.
RESULTS: The testes were evaluated after 28 and 56 days of exposure. Varying sizes of PS-MPs were detected in the testes (ranging from 5.870 to 7.768 µm). Significant differences in sperm concentration, motility, and the proportion of normal sperm were observed between the two groups. An increase in TGF-β, HIF-2α, and NOX-4 levels was observed using western blot analysis. However, no dose-dependent correlations were observed between the two groups. In vitro evaluation of the PS-MPs group displayed PS-MP penetration of the lumen of Sertoli cells after 1 hour. Further PS-MP aggregation within Sertoli cells was observed at 24, 48, and 72 hours. A significant increase in inflammatory protein expressions (IL-10, TGF-β, MCP-1, IL-6, TNF-α, and HIF-2α) was observed through western blotting, although oxidative agents did not show a significant increase.
CONCLUSION: PS-MPs induced reproductive dysfunction in male mice provide new insights into PS-MPs-associated toxicity in mammals.","['Jeon BJ', 'Ko YJ', 'Cha JJ', 'Kim C', 'Seo MY', 'Lee SH', 'Park JY', 'Bae JH', 'Tae BS']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}, 'D011137': {'substance_name': 'Polystyrenes', 'registry_number': '0'}, 'D015850': {'substance_name': 'Interleukin-6', 'registry_number': '0'}, 'D016753': {'substance_name': 'Interleukin-10', 'registry_number': '130068-27-8'}, 'D018932': {'substance_name': 'Chemokine CCL2', 'registry_number': '0'}, 'D014409': {'substance_name': 'Tumor Necrosis Factor-alpha', 'registry_number': '0'}}","Jeon BJ, et al. Examining the Relationship Between Polystyrene Microplastics and Male Fertility: Insights From an In Vivo Study and In Vitro Sertoli Cell Culture. Examining the Relationship Between Polystyrene Microplastics and Male Fertility: Insights From an In Vivo Study and In Vitro Sertoli Cell Culture. 2024; 39:e259. doi: 10.3346/jkms.2024.39.e259",10.3346/jkms.2024.39.e259,"{'received': datetime.datetime(2024, 2, 12, 0, 0), 'accepted': datetime.datetime(2024, 7, 21, 0, 0), 'medline': datetime.datetime(2024, 10, 8, 0, 0), 'pubmed': datetime.datetime(2024, 10, 8, 0, 0), 'entrez': datetime.datetime(2024, 10, 8, 0, 0), 'pmc-release': datetime.datetime(2024, 10, 7, 0, 0)}",1598-6357,J Korean Med Sci,Examining the Relationship Between Polystyrene Microplastics and Male Fertility: Insights From an In Vivo Study and In Vitro Sertoli Cell Culture.,39.0,39(38),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39376189
41,"BACKGROUND: There has been an exponential increase in the number of studies reporting on the toxicological effects associated with exposure to nano and microplastic particles (NMPs). The majority of these studies, however, have used monodispersed polystyrene microspheres (PSMs) as 'model' particles. Here we review the differences between the manufacture and resulting physicochemical properties of polystyrene used in commerce and the PSMs most commonly used in toxicity studies.
MAIN BODY: In general, we demonstrate that significant complexity exists as to the properties of polystyrene particles. Differences in chemical composition, size, shape, surface functionalities and other aspects raise doubt as to whether PSMs are fit-for-purpose for the study of potential adverse effects of naturally occurring NMPs. A realistic assessment of potential health implications of the exposure to environmental NMPs requires better characterisation of the particles, a robust mechanistic understanding of their interactions and effects in biological systems as well as standardised protocols to generate relevant model particles. It is proposed that multidisciplinary engagement is necessary for the development of a timely and effective strategy towards this end. We suggest a holistic framework, which must be supported by a multidisciplinary group of experts to work towards either providing access to a suite of environmentally relevant NMPs and/or developing guidance with respect to best practices that can be adopted by research groups to generate and reliably use NMPs. It is emphasized that there is a need for this group to agree to a consensus regarding what might best represent a model NMP that is consistent with environmental exposure for human health, and which can be used to support a variety of ongoing research needs, including those associated with exposure and hazard assessment, mechanistic toxicity studies, toxicokinetics and guidance regarding the prioritization of plastic and NMPs that likely represent the greatest risk to human health. It is important to acknowledge, however, that establishing a multidisciplinary group, or an expert community of practice, represents a non-trivial recommendation, and will require significant resources in terms of expertise and funding.
CONCLUSION: There is currently an opportunity to bring together a multidisciplinary group of experts, including polymer chemists, material scientists, mechanical engineers, exposure and life-cycle assessment scientists, toxicologists, microbiologists and analytical chemists, to provide leadership and guidance regarding a consensus on defining what best represents environmentally relevant NMPs. We suggest that given the various complex issues surrounding the environmental and human health implications that exposure to NMPs represents, that a multidisciplinary group of experts are thus critical towards helping to progress the harmonization and standardization of methods.","['Gouin T', 'Ellis-Hutchings R', 'Pemberton M', 'Wilhelmus B']","{'D011137': {'substance_name': 'Polystyrenes', 'registry_number': '0'}, 'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}}","Gouin T, et al. Addressing the relevance of polystyrene nano- and microplastic particles used to support exposure, toxicity and risk assessment: implications and recommendations. Addressing the relevance of polystyrene nano- and microplastic particles used to support exposure, toxicity and risk assessment: implications and recommendations. 2024; 21:39. doi: 10.1186/s12989-024-00599-1",10.1186/s12989-024-00599-1,"{'received': datetime.datetime(2024, 5, 13, 0, 0), 'accepted': datetime.datetime(2024, 9, 10, 0, 0), 'medline': datetime.datetime(2024, 9, 28, 0, 0), 'pubmed': datetime.datetime(2024, 9, 28, 0, 0), 'entrez': datetime.datetime(2024, 9, 28, 0, 0), 'pmc-release': datetime.datetime(2024, 9, 27, 0, 0)}",1743-8977,Part Fibre Toxicol,"Addressing the relevance of polystyrene nano- and microplastic particles used to support exposure, toxicity and risk assessment: implications and recommendations.",21.0,21(1),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39334292
45,"Plastic pollution, driven by micro- and nanoplastics (MNPs), poses a major environmental threat, exposing humans through various routes. Despite human colorectal adenocarcinoma Caco-2 cells being used as an in vitro model for studying the intestinal epithelium, uncertainties linger about MNPs harming these cells and the factors influencing adverse effects. Addressing this lacuna, our study aimed to elucidate the pivotal MNP parameters influencing cytotoxicity in Caco-2 cells, employing meta-analysis and machine learning techniques for quantitative assessment. Initial scrutiny of 95 publications yielded 17 that met the inclusion criteria, generating a dataset of 320 data points. This dataset underwent meticulous stratification based on polymer type, exposure time, polymer size, MNP concentration, and biological assays utilised. Subsequent dose-response curve analysis revealed moderate correlations for selected subgroups, such as the (3-[4,5-dimethylthiazol-2-yl]-2,5 diphenyl tetrazolium bromide) MTT biological assay and exposure time exceeding 24 h, with coefficient of determination (R2) values of 0.50 (p-value: 0.0065) and 0.60 (p-value: 0.0018) respectively. For the aforementioned two subgroups, the MNP concentrations surpassing 10 μg/mL led to diminished viability of Caco-2 cells. Notably, we observed challenges in employing meta-analysis to navigate this multidimensional MNP dataset. Leveraging a random forest model, we achieved improved predictive performance, with R2 values of 0.79 and a root mean square error (RMSE) of 0.14 for the prediction of the Log Response Ratio on the test set. Model interpretation indicated that size and concentration are the principal drivers influencing Caco-2 cell cytotoxicity. Additionally, the partial dependence plot illustrating the relationship between the size of MNPs and predicted cytotoxicity reveals a complex pattern. Our study provides crucial insights into the health impacts of plastic pollution, informing policymakers for targeted interventions, thus contributing to a comprehensive understanding of its human health consequences.","['Ferreira ROG', 'Nag R', 'Gowen A', 'Xu JL']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}, 'D004785': {'substance_name': 'Environmental Pollutants', 'registry_number': '0'}}","Ferreira ROG, et al. Deciphering the cytotoxicity of micro- and nanoplastics in Caco-2 cells through meta-analysis and machine learning. Deciphering the cytotoxicity of micro- and nanoplastics in Caco-2 cells through meta-analysis and machine learning. 2024; 362:124971. doi: 10.1016/j.envpol.2024.124971",10.1016/j.envpol.2024.124971,"{'received': datetime.datetime(2024, 5, 2, 0, 0), 'revised': datetime.datetime(2024, 9, 13, 0, 0), 'accepted': datetime.datetime(2024, 9, 14, 0, 0), 'medline': datetime.datetime(2024, 11, 14, 0, 0), 'pubmed': datetime.datetime(2024, 9, 19, 0, 0), 'entrez': datetime.datetime(2024, 9, 18, 0, 0)}",1873-6424,Environ Pollut,Deciphering the cytotoxicity of micro- and nanoplastics in Caco-2 cells through meta-analysis and machine learning.,362.0,362,2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39293654
